DVM,WSC_AHCS_TRN_TYPE_DVM,This DVM is getting used for mapping Transaction Type based on EVENT CLASS.
Legacy_EBS_EVENT_CLASS,Legacy_EBS_EVENT_TYPE,Legacy_POC_JE_SOURCE,Input_data_element_1b,TRANSACTION_TYPE
INVOICES,INVOICES,null,MA,API_MAT_INVOICES
DEBIT MEMOS,DEBIT_MEMOS,null,RV,API_RTV_INVOICES
CREDIT MEMOS,CREDIT_MEMOS,null,FT,API_FRT_INVOICES
PAYMENTS,PAYMENTS,null,EX,API_EXP_INVOICES
RECONCILED PAYMENTS,RECONCILED_PAYMENTS,null,2,BKI_PAYMENT
CHARGEBACK,CHARGEBACKS,null,0,BKI_CHARGES
RECEIPT,RECEIPTS,null,VOID_CODE,ADI_VOID_PAYMENTS
null,RECEIVABLES,Receivables,ADIN,ADI_PAYMENTS
null,PAYABLES,Payables,I/C,ADI_REPAYMENT
null,COST_ADJUSTMENT,Cost Adjustment,,
null,COST_MANAGEMENT,Cost Management,B,AQI_IC_REVERSAL
null,MARKETING,Marketing,CAIN,CAI_INVOICES
null,JOURNALS,AutoCopy,AQIN,AQI_IC_INVOICES
null,JOURNALS,Manual,,
null,JOURNALS,Spreadsheet,CLOUDPAY,CLOUDPAY
null,PROJECT_ACCOUNTING,Project Accounting,UT,API_EXP_INVOICES
ADDITIONS,ADDITION,,AE,API_EXP_INVOICES
ADJUSTMENTS,ADJUSTMENT,,PF,API_EXP_INVOICES
CAPITALIZATION,CAPITALIZATION,,UV,UNVOUCHERED_BEG_BAL
CATEGORY RECLASS,CATEGORY_RECLASS,,IC,IC_BEG_BAL
CIP ADDITIONS,CIP_ADDITIONS,,APB,AP_BEG_BAL
CIP ADJUSTMENTS,CIP_ADJUSTMENTS,,M,LSI_LSM
CIP CATEGORY RECLASS,CIP_CATEGORY_RECLASS,,LSIP,LSI_LSI
CIP RETIREMENTS,CIP_RETIREMENTS,,AP_Closeout_Adjustment,AP_CLOSEOUT_ADJUSTMENT
CIP SOURCE LINE TRANSFERS,CIP_SOURCE_LINE_TRANSFERS,,AP_IC_Repayment,AP_IC_REPAYMENT
CIP TRANSFERS,CIP_TRANSFERS,,Manual_LSI_ICAP,MANUAL_LSI_ICAP
DEPRECIATION,DEPRECIATION,,,
RETIREMENTS,RETIREMENTS,,,
SOURCE LINE TRANSFERS,SOURCE_LINE_TRANSFERS,,,
TRANSFERS,TRANSFERS,,,
UNPLANNED DEPRECIATION,UNPLANNED_DEPRECIATION,,,
UNIT ADJUSTMENTS,UNIT_ADJUSTMENTS,,,
INVOICE,INVOICES,,,
DEBIT_MEMO,DEBIT_MEMOS,,,
CREDIT_MEMO,CREDIT_MEMOS,,,
ADJUSTMENT,ADJUSTMENTS,,,
null,CHANNEL_MANAGEMENT,Channel Management,,
null,PROJECT_ACCOUNTING,Projects,,
,,,IV,SII_TRD_INVOICES
,,,RA,SII_TRD_RA_CREDITS
,,,NR,SII_TRD_PNRAF9_CREDITS
,,,F9,SII_IC_CREDITS
,,,FC,SII_TRD_FNRA_CREDITS
,,,FI,SII_TRD_FNRA_CREDITS
,,,1,BKI_COLLECTIONS
,,,LF,CRI_LATE_FEE
,,,ARIN,ARI_ADJUSTMENTS
,,,PAY,CRI_CASH_APPLICATIONS
,,,SWO,CRI_CASH_ALLOWANCES
,,,RSWO,CRI_CASH_ALLOWANCES
,,,NSF,CRI_FREIGHT_CLAIMS
,,,LSIR,LSI_LIABILITY_SWITCH
AXE Eclipse,,,ECLIPSE,ECLPS
,,,ADD,ADDITION
,,,ADJ,ADJUSTMENT
,,,DPR,DEPRECIATION
,,,PDP,PRIOR_PERIOD_DEP
,,,RET,RETIREMENT
,,,TRF,TRANSFER
,,,REI,REINSTATEMENT
,,,RCT,RECATEGORISATION
AXE SXE,,,,SXEUS
,,,LEASES,LEASES_JOURNALS
,,,SPER,SPR_INVOICES
,,,RB,SII_IC_INVOICES
,,,LF_S,SII_LATE_FEE
,,CQI,<>M,CQI_ADJUSTMENT
,,DAI,=MA,DAI_ACCRUAL
,,IRI,=PO,IRI_RECEIPTS_PO
,,IRI,=RA,IRI_RECEIPTS_RA
,,AII,AII_IV_RB,AII_IC_INVOICES
,,AII,AII_RA_NR_F9,AII_IC_CREDITS
,,AII,=B,AII_IC_REVERSAL
,,FII,FII,FII_INOUT_FREIGHT
,,ISI,TR_FO,ISI_TRD_ADJUSTMENTS
,,ISI,TR_RA,ISI_TRD_RA_CREDITS
,,ISI,TR_IV_RB,ISI_TRD_INVOICES
,,ISI,IA_IV_RB,ISI_INTRA_INVOICES
,,ISI,IA_FO,ISI_INTRA_ADJUSTMENTS
,,ISI,IC_IV_RB,ISI_INTER_INVOICES
,,ISI,IC_FO,ISI_INTER_ADJUSTMENTS
,,ISI,IA_NR_RA_F9,ISI_INTRA_CREDITS
,,ISI,IC_NR_RA_F9,ISI_INTER_CREDITS
,,ISI,TR_NR_FC_FI,ISI_TRD_FNRA_VOIDS
,,ISI,TR_NR_F9_FC_FI,ISI_TRD_PNRAF9_VOIDS
,,FTI,FTI,FTI_FREIGHT_ACCRUAL
,,IBI,IBI,IBI_ADJUSTMENT
,SPEC_INV,SSI,SSI,SPC_INVOICES
,,ICI,ICI_IV,ICI_IC_INVOICES
,,ICI,ICI_RA_NR_F9,ICI_IC_CREDITS
,,,AR_Closeout_Adjustment,AR_CLOSEOUT_ADJUSTMENT
,,,AR_IC_Repayment,AR_IC_REPAYMENT
,,,Manual_LSI_ICAR,MANUAL_LSI_ICAR
,,JTI_MFINV,INV_Closeout_Adjustment,INV_CLOSEOUT_ADJUSTMENT
,,JTI_MFINV,Cost_Quantity_TrueUp,COST_QUANTITY_TRUEUP
